rowname	genename	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name.GENENAME	MUT_12DPA_R1	MUT_12DPA_R2	MUT_12DPA_R3	WT_12DPA_R1	WT_12DPA_R2	MUT_14DPA_R1	MUT_14DPA_R2	MUT_14DPA_R3	WT_14DPA_R1	WT_14DPA_R2
ENSMUSG00000000093	Tbx2	937.092324818275	1.68985050434273	0.471223841265437	3.58608872548715	0.000335674790902803	0.00220880411519051	Tbx2	1.1	1.87	0.86	3.31	3.68	0.61	2.03	1.24	3.41	3.1
ENSMUSG00000000094	Tbx4	257.01315623709	1.57700676873161	0.502236058654639	3.13997121782934	0.00168964434317356	0.00818431143407863	Tbx4	0.52	0.87	0.88	1.67	1.56	0.22	0.72	0.41	0.95	1.17
ENSMUSG00000000317	Bcl6b	211.813144834069	2.21289519396502	0.454751917758949	4.8661591244526	1.13787914815578e-06	1.84171713704562e-05	Bcl6b	0.59	0.51	0.51	1.1	1.42	0.23	0.5	0.26	0.93	1.06
ENSMUSG00000000392	Fap	812.568159573203	1.6212627260608	0.49408617826822	3.28133592350903	0.00103316615461635	0.00548099305145285	Fap	1.67	1.63	3.48	4.23	3.37	0.74	2.39	1.88	4	4.07
ENSMUSG00000000627	Sema4f	200.941644970792	1.95212516570619	0.283434029501996	6.88740575412256	5.681899045882e-12	3.16551554563208e-10	Sema4f	0.36	0.57	0.86	1.04	1.09	0.29	0.25	0.19	0.51	1.02
ENSMUSG00000000693	Loxl3	752.357371256571	2.14097255954467	0.34389799892486	6.22560342380028	4.79706078343413e-10	1.77547158786404e-08	Loxl3	1.76	1.13	1.9	5.02	4.84	1	1.9	1.28	3.44	5.21
ENSMUSG00000000753	Serpinf1	4763.29886376708	1.70539293448958	0.42386690755455	4.02341608673496	5.73600271494245e-05	0.000520733282492031	Serpinf1	28.72	31.1	38.6	88.35	113.34	13.31	35.61	26.07	59.86	67.47
ENSMUSG00000000958	Slc7a7	111.057861985274	1.54284886188876	0.372936947159345	4.13702335915123	3.51840303883237e-05	0.000346988841307953	Slc7a7	0.87	0.89	0.89	0.89	1.32	0.51	0.8	0.51	0.52	1.19
ENSMUSG00000000982	Ccl3	45.9641455147022	-3.59098782087174	0.787522526648378	-4.55985409859277	5.11891733712567e-06	6.73948337304157e-05	Ccl3	0.72	1.08	10.1	0.2	0.21	1.14	0.74	1.81	0.11	0.04
ENSMUSG00000001021	S100a3	3806.40031363198	2.0991774361344	0.344523234783311	6.0929923563927	1.10819355714108e-09	3.8418989738616e-08	S100a3	35.28	53.37	41.46	150.22	443.92	37.08	22.36	32.74	55.64	157.22
ENSMUSG00000001029	Icam2	111.161865053315	2.38299591315584	0.377342157983561	6.31521250074489	2.69790500503748e-10	1.04993469779375e-08	Icam2	0.48	0.5	0.75	1.47	1.91	0.25	0.41	0.4	1.21	1.78
